0	0.8975076079
1	0.7918105125
2	0.7261569500
3	0.6006006598
4	0.6715897322
5	0.6496524215
6	0.6816577911
7	0.7670221329
8	0.7426830530
9	0.6736165285
10	0.6864630580
11	0.7301201820
12	0.6975117922
13	0.6921251416
14	0.7272282243
15	0.6534180045
16	0.6618313789
17	0.7106463313
18	0.6821306944
19	0.6719105840
20	0.6581270099
21	0.6778277755
22	0.6345014572
23	0.6647441387
24	0.6870583296
25	0.6760925651
26	0.7045295835
27	0.7360819578
28	0.7226952314
29	0.6581081748
30	0.7169983983
31	0.6600025296
32	0.6641342044
33	0.7266454697
34	0.7093887329
35	0.6652270555
36	0.6681617498
37	0.6897829175
38	0.7069808245
