0	0.9055360556
1	0.6797139645
2	0.7076496482
3	0.6400178075
4	0.7028260827
5	0.7736438513
6	0.6513296366
7	0.7510222197
8	0.6548187137
9	0.7076294422
10	0.6588904858
11	0.6145505309
12	0.6967118382
13	0.6983460784
14	0.6441795826
15	0.6789699197
16	0.6519253850
17	0.7012291551
18	0.6910013556
19	0.6754285693
20	0.6873687506
21	0.7326023579
22	0.6204069257
23	0.6833939552
24	0.6525701880
25	0.6798869371
26	0.7147308588
27	0.7235208154
28	0.6681506038
29	0.6975267529
30	0.6580084562
31	0.6505770087
32	0.6886754632
33	0.6778713465
34	0.7074357867
35	0.6593215466
36	0.6810560822
37	0.6950232387
38	0.7639906406
