0	0.9412832260
1	0.8928708434
2	0.6499286890
3	0.6082602739
4	0.7481548786
5	0.7163246870
6	0.7121798992
7	0.7204082608
8	0.6837247610
9	0.7025787234
10	0.6743226051
11	0.6346275806
12	0.7356265187
13	0.7202005982
14	0.6969020367
15	0.6632837057
16	0.7012203336
17	0.6528068185
18	0.6856709123
19	0.6888302565
20	0.6908311248
21	0.6993992925
22	0.6756141782
23	0.6687539816
24	0.6765525937
25	0.6721910834
26	0.6468062401
27	0.6362998486
28	0.6307457685
29	0.6405341029
30	0.7167795300
31	0.6874584556
32	0.6785903573
33	0.7177388668
34	0.7194639444
35	0.6533252597
36	0.6592703462
37	0.7123329639
38	0.6418021917
