0	0.8975076079
1	0.7918104529
2	0.7261569500
3	0.6006006598
4	0.6715897322
5	0.6496524215
6	0.6816577911
7	0.7670221329
8	0.7426831722
9	0.6736165285
10	0.6864629984
11	0.7301201820
12	0.6975117922
13	0.6921252012
14	0.7272281647
15	0.6534180641
16	0.6618312597
17	0.7106463313
18	0.6821308136
19	0.6719106436
20	0.6581270099
21	0.6778277159
22	0.6345015168
23	0.6647440791
24	0.6870583892
25	0.6760925055
26	0.7045295835
27	0.7360818982
28	0.7226953506
29	0.6581081152
30	0.7169983387
31	0.6600024700
32	0.6641342044
33	0.7266455293
34	0.7093887329
35	0.6652269363
36	0.6681618690
37	0.6897828579
38	0.7069809437
