0	0.9055360556
1	0.6797139049
2	0.7076496482
3	0.6400177479
4	0.7028261423
5	0.7736438513
6	0.6513296366
7	0.7510221601
8	0.6548188329
9	0.7076293826
10	0.6588904858
11	0.6145505905
12	0.6967118382
13	0.6983460784
14	0.6441795826
15	0.6789699197
16	0.6519253254
17	0.7012290955
18	0.6910012960
19	0.6754284501
20	0.6873687506
21	0.7326023579
22	0.6204068065
23	0.6833940148
24	0.6525702477
25	0.6798869371
26	0.7147309184
27	0.7235206962
28	0.6681506038
29	0.6975266337
30	0.6580085158
31	0.6505770087
32	0.6886755228
33	0.6778713465
34	0.7074357867
35	0.6593215466
36	0.6810560822
37	0.6950232983
38	0.7639907002
