0	0.8975076079
1	0.7918105721
2	0.7261570096
3	0.6006006002
4	0.6715897322
5	0.6496523619
6	0.6816577911
7	0.7670220733
8	0.7426831126
9	0.6736164093
10	0.6864629388
11	0.7301201820
12	0.6975117922
13	0.6921251416
14	0.7272282243
15	0.6534180641
16	0.6618312597
17	0.7106463313
18	0.6821307540
19	0.6719106436
20	0.6581270099
21	0.6778277755
22	0.6345014572
23	0.6647440791
24	0.6870583296
25	0.6760925055
26	0.7045294642
27	0.7360818982
28	0.7226952314
29	0.6581081152
30	0.7169983983
31	0.6600025296
32	0.6641342044
33	0.7266454697
34	0.7093886137
35	0.6652270555
36	0.6681618094
37	0.6897829771
38	0.7069809437
