0	0.6244418025
1	0.6271341443
2	0.7331115007
3	0.7530368567
4	0.7701761723
5	0.7852979302
6	0.6773862839
7	0.7240059376
8	0.6956485510
9	0.7058277726
10	0.7347923517
11	0.7404109240
12	0.6911787391
13	0.6838894486
14	0.6942995787
15	0.7235354781
16	0.6867843270
17	0.7014890313
18	0.6868188381
19	0.6634982228
20	0.6566498876
21	0.6318873167
22	0.7325893044
23	0.6637825370
24	0.6736941934
25	0.7446627617
26	0.7009887099
27	0.6627845168
28	0.7231648564
29	0.6134839058
30	0.6876941323
31	0.6324419975
32	0.6902807355
33	0.6070386767
34	0.6718780994
35	0.6596216559
36	0.6989961267
37	0.6583592296
38	0.6860821843
