0	0.9412832260
1	0.8928708434
2	0.6499286890
3	0.6082603931
4	0.7481549382
5	0.7163247466
6	0.7121799588
7	0.7204082608
8	0.6837247610
9	0.7025788426
10	0.6743226647
11	0.6346275806
12	0.7356266975
13	0.7202005982
14	0.6969019771
15	0.6632837057
16	0.7012202740
17	0.6528066993
18	0.6856708527
19	0.6888302565
20	0.6908311248
21	0.6993992925
22	0.6756141186
23	0.6687539816
24	0.6765525937
25	0.6721910834
26	0.6468062997
27	0.6362999678
28	0.6307457685
29	0.6405341029
30	0.7167795300
31	0.6874585152
32	0.6785904169
33	0.7177387476
34	0.7194639444
35	0.6533252001
36	0.6592704654
37	0.7123329043
38	0.6418021321
