0	0.6244418025
1	0.6271341443
2	0.7331116199
3	0.7530367374
4	0.7701762319
5	0.7852979302
6	0.6773862243
7	0.7240059972
8	0.6956485510
9	0.7058278322
10	0.7347922921
11	0.7404108644
12	0.6911786795
13	0.6838894486
14	0.6942995787
15	0.7235354185
16	0.6867843270
17	0.7014889717
18	0.6868188381
19	0.6634982228
20	0.6566499472
21	0.6318873167
22	0.7325891852
23	0.6637824774
24	0.6736941934
25	0.7446628213
26	0.7009885907
27	0.6627845168
28	0.7231648564
29	0.6134837866
30	0.6876940727
31	0.6324418783
32	0.6902807951
33	0.6070387959
34	0.6718780398
35	0.6596216559
36	0.6989961267
37	0.6583592892
38	0.6860821843
