0	0.9055360556
1	0.6797138453
2	0.7076496482
3	0.6400178075
4	0.7028260231
5	0.7736437917
6	0.6513295770
7	0.7510222197
8	0.6548189521
9	0.7076293826
10	0.6588904858
11	0.6145504713
12	0.6967118979
13	0.6983460784
14	0.6441796422
15	0.6789699197
16	0.6519253254
17	0.7012291551
18	0.6910012364
19	0.6754284501
20	0.6873686314
21	0.7326024175
22	0.6204068661
23	0.6833940148
24	0.6525702477
25	0.6798869967
26	0.7147308588
27	0.7235208154
28	0.6681505442
29	0.6975265741
30	0.6580085754
31	0.6505770087
32	0.6886754632
33	0.6778714061
34	0.7074357271
35	0.6593215466
36	0.6810560822
37	0.6950232387
38	0.7639907598
